word,decade,n
sun,1960s,4
sunshine,1960s,4
talk,1960s,4
teach,1960s,4
tears,1960s,4
tellin,1960s,4
thinking,1950s,4
tight,1960s,4
told,1950s,4
touchdown,1970s,4
tramps,1970s,4
uh,1960s,4
understand,1960s,4
unknown,1960s,4
waiting,1970s,4
walking,1960s,4
wendy,1970s,4
whisper,1960s,4
whoo,1970s,4
wooh,1950s,4
worried,1970s,4
yeah,2000s,4
yesterday,1970s,4
ah,1950s,3
ahead,1950s,3
albino,1990s,3
anymore,1960s,3
arm,1980s,3
askin,1960s,3
bag,1960s,3
begin,1960s,3
belong,1960s,3
belonged,1980s,3
bow,1970s,3
boy,1980s,3
boys,1970s,3
bring,1980s,3
burnin,1960s,3
call,1960s,3
called,2000s,3
car,1960s,3
caress,1950s,3
children,1970s,3
church,1960s,3
city,1960s,3
climb,1960s,3
closer,1950s,3
coaster,1950s,3
confusion,1960s,3
constitution,1970s,3
contagious,1990s,3
cool,1980s,3
country,1950s,3
crazy,1960s,3
cry,1960s,3
cure,1970s,3
daddy,1960s,3
dangerous,1990s,3
de,1960s,3
decir,1980s,3
denyin,1970s,3
di,1970s,3
die,1980s,3
direction,1960s,3
doll,1980s,3
double,1980s,3
drowning,1970s,3
drunk,1980s,3
earth,1960s,3
embrace,1960s,3
emptiness,1950s,3
explode,1960s,3
eyes,1980s,3
fakin,1950s,3
fill,1970s,3
fine,1950s,3
fish,1970s,3
fool,1970s,3
force,1980s,3
ford,1950s,3
forget,1960s,3
forming,1970s,3
frío,1980s,3
funk,1980s,3
game,1960s,3
generate,1970s,3
gettin,1980s,3
glad,1950s,3
grin,1970s,3
growing,1970s,3
grows,1980s,3
guns,1960s,3
hah,1960s,3
half,1960s,3
happen,1960s,3
happenin,1960s,3
happening,1960s,3
happiness,1950s,3
havin,1950s,3
hear,1980s,3
heat,1970s,3
hi'e,1960s,3
highway,1980s,3
hold,1950s,3
holes,1960s,3
horn,1950s,3
hot,1980s,3
house,1950s,3
hurt,1960s,3
ice,1970s,3
job,1980s,3
john,1950s,3
jumpin,1960s,3
kiss,1950s,3
kiss,1960s,3
knees,1980s,3
knock,1980s,3
laa,1970s,3
laughing,1960s,3
laughing,1990s,3
lay,1980s,3
learnin,1960s,3
leave,1980s,3
leaves,1970s,3
libido,1990s,3
lights,1980s,3
lights,1990s,3
living,1960s,3
log,1960s,3
loneliness,1950s,3
losing,1970s,3
lost,1980s,3
louder,1980s,3
loved,1960s,3
loves,1980s,3
low,1960s,3
low,1970s,3
ma,1970s,3
magic,1960s,3
minds,1970s,3
mmm,1950s,3
money,1950s,3
money,1980s,3
morning,1970s,3
mosquito,1990s,3
movin,1980s,3
mulatto,1990s,3
news,1960s,3
nice,1980s,3
nothin,1960s,3
oo,1960s,3
pain,1960s,3
past,1960s,3
pay,1970s,3
pick,1970s,3
piling,1970s,3
play,1980s,3
pray,1970s,3
pray,1980s,3
pulsatin,1970s,3
race,1960s,3
read,1960s,3
real,1950s,3
red,1970s,3
remember,1980s,3
revolution,1970s,3
ring,1950s,3
river,1970s,3
roller,1950s,3
rolling,1970s,3
runnin,1960s,3
school,1980s,3
sea,1960s,3
seat,1970s,3
sensation,1960s,3
shimmies,1980s,3
shot,1980s,3
shoulder,1980s,3
sing,1990s,3
sit,1970s,3
sittin,1950s,3
smoke,1960s,3
song,1970s,3
sonic,1980s,3
spell,1960s,3
stars,1960s,3
stars,1970s,3
started,1960s,3
starts,1960s,3
steam,1970s,3
step,1960s,3
stone,1970s,3
street,1950s,3
strikes,1950s,3
stupid,1990s,3
summertime,1970s,3
surprise,1960s,3
sweet,1950s,3
talk,1970s,3
te,1960s,3
tease,1980s,3
ten,1950s,3
thin,1970s,3
thinking,1960s,3
throw,1960s,3
tienes,1980s,3
tight,1970s,3
til,1960s,3
tip,1970s,3
tonight,1970s,3
trouble,1980s,3
true,1970s,3
turnin,1960s,3
type,1960s,3
uncle,1950s,3
walkin,1960s,3
walls,1980s,3
war,1970s,3
warm,1960s,3
watchtower,1960s,3
wavin,1970s,3
wheat,1970s,3
wheel,1960s,3
wheelchair,1980s,3
wind,1960s,3
wind,1970s,3
word,1960s,3
word,1970s,3
worth,1960s,3
wrapped,1980s,3
yeah,1990s,3
zooming,1970s,3
2x,1970s,2
aaaalll,1960s,2
ad,1980s,2
adventure,1960s,2
affection,1960s,2
ah,1970s,2
ahhhhhhh,1960s,2
air,1960s,2
alright,1950s,2
anarchist,1970s,2
anna,1960s,2
anybody's,1960s,2
assured,1960s,2
aunt,1950s,2
awful,1960s,2
bad,1970s,2
bakin,1970s,2
bambaataa's,1980s,2
band,1970s,2
battle,1960s,2
beach,1970s,2
beating,2000s,2
bell,1950s,2
beneath,1960s,2
bet,1960s,2
beware,1960s,2
bigger,1980s,2
bigger,1990s,2
biggs,1980s,2
billy,1960s,2
bit,1970s,2
bleed,1980s,2
blow,1970s,2
blow,1980s,2
blowin,1960s,2
blue,1960s,2
blue,1980s,2
blush,1970s,2
bobby's,1970s,2
body,1970s,2
body,1990s,2
body's,1980s,2
boom,1950s,2
boot,1960s,2
bounce,1980s,2
bout,1950s,2
boy,1970s,2
brain,1960s,2
brain,1980s,2
brains,2000s,2
breezes,1970s,2
bring,1990s,2
broken,1950s,2
broken,1960s,2
build,1960s,2
bull,1950s,2
bumper,1950s,2
burn,1950s,2
car,1950s,2
car,1970s,2
carmen,1960s,2
cat,1950s,2
cat,1960s,2
catch,1960s,2
chance,1960s,2
chance,1970s,2
chase,1980s,2
chester,1960s,2
chew,1950s,2
chicken,1950s,2
chickens,2000s,2
child,1960s,2
children,1960s,2
chrysler,1980s,2
city,1970s,2
clam,1970s,2
clock,1980s,2
close,1960s,2
clothes,1980s,2
coast,1960s,2
cold,1970s,2
colored,1970s,2
comfort,1960s,2
comin,1960s,2
cool,1960s,2
corner,1950s,2
corner,1990s,2
cover,1970s,2
cranberry,1960s,2
cross,1950s,2
cross,1980s,2
crowd,1960s,2
crowded,1950s,2
crying,1960s,2
cut,1990s,2
dance,1980s,2
dancin,1980s,2
dancing,1960s,2
daughters,1960s,2
dawn,1960s,2
death,1970s,2
decision,1980s,2
deep,1960s,2
depending,1970s,2
destroy,1970s,2
diamond,1950s,2
diamond,1960s,2
dida,1970s,2
doble,1980s,2
doin,1950s,2
dontcha,1960s,2
don’t,1960s,2
door,1960s,2
doors,1960s,2
drawn,1960s,2
dream,1980s,2
dreaming,1970s,2
dreams,1960s,2
dreams,1970s,2
dreams,1980s,2
dried,1960s,2
drifting,1960s,2
drink,1950s,2
drive,1950s,2
drive,1960s,2
due,1960s,2
dust,1970s,2
ear,1970s,2
easy,1970s,2
elation,1960s,2
eleanor,1960s,2
eleven,1950s,2
eleven,1960s,2
em,1970s,2
england's,1970s,2
er,1960s,2
error,1970s,2
es,1980s,2
everyday,1960s,2
ey,1960s,2
eye,1970s,2
fallin,1960s,2
falling,1970s,2
falling,1980s,2
family,1970s,2
fantabulous,1970s,2
fate,1960s,2
father,1960s,2
feel,1970s,2
feelin,1960s,2
feels,1950s,2
fell,1960s,2
fell,1970s,2
fighter,1970s,2
final,1980s,2
fine,1960s,2
fine,1980s,2
fire,1980s,2
flat,1960s,2
flesh,2000s,2
flight,1970s,2
floor,1960s,2
fly,1980s,2
flyin,1970s,2
fog,1960s,2
folks,1950s,2
food,1990s,2
fool,1960s,2
fool,1990s,2
found,1950s,2
freedom's,1970s,2
friend,1970s,2
friends,1960s,2
frio,1980s,2
funeral,1960s,2
getaway,1980s,2
girl,1970s,2
gonna,1980s,2
gonna,2000s,2
gray,1960s,2
grip,1960s,2
groove,1980s,2
groovin,1980s,2
guitar,1950s,2
haber,1980s,2
hair,1980s,2
hall,1960s,2
hang,1960s,2
happened,1960s,2
hard,1980s,2
hard,1990s,2
headin,1980s,2
heard,1950s,2
hearted,1950s,2
hesitate,1960s,2
hey,1990s,2
hey,2000s,2
hide,1970s,2
highway,1960s,2
hill,1950s,2
history,1970s,2
hit,1970s,2
ho,1960s,2
holdin,1970s,2
holding,1960s,2
home,1950s,2
hooo,1960s,2
hop,1960s,2
hotel,1950s,2
house,1960s,2
huggin,1980s,2
human,1970s,2
hung,1970s,2
hush,1970s,2
hustle,1970s,2
hypnotizing,2000s,2
i's,1970s,2
illusion,1960s,2
insane,1980s,2
inside,1970s,2
instrumental,1960s,2
it’s,1960s,2
job,1970s,2
joe,1970s,2
johnny,2000s,2
joke,1960s,2
joker,1960s,2
joo,1960s,2
jukebox,1980s,2
kick,1960s,2
kissin,1980s,2
knee,1960s,2
knees,1960s,2
knock,1950s,2
l.a,1960s,2
ladida,1970s,2
ladies,1980s,2
late,1970s,2
laying,1970s,2
lead,1950s,2
lead,1980s,2
leave,1970s,2
leaving,1970s,2
lee,1960s,2
legs,1970s,2
liar,1960s,2
lib,1980s,2
light,1990s,2
light's,1960s,2
lights,1950s,2
lights,1960s,2
likes,1960s,2
liquor,1950s,2
live,1960s,2
lives,1980s,2
livin,1980s,2
loco,1980s,2
lookin,1970s,2
lookin,1980s,2
lose,1970s,2
losing,1990s,2
lot,1960s,2
lotion,2000s,2
lots,1970s,2
love's,1950s,2
lover,1950s,2
lovers,1950s,2
lovers,1960s,2
lovin,1950s,2
lovin,1980s,2
luke,1960s,2
machine,2000s,2
mama,1970s,2
marvelous,1970s,2
mary,1950s,2
matter,1960s,2
mckenzie,1960s,2
meet,1960s,2
memory,1960s,2
midnight,1960s,2
million,2000s,2
mine,1970s,2
mire,1960s,2
miss,1970s,2
mister,1960s,2
mm,1980s,2
moan,1960s,2
moment,1980s,2
money,1970s,2
mother,1960s,2
mother,1980s,2
motor,1950s,2
motor,1960s,2
move,1980s,2
naaa,1960s,2
nails,1950s,2
nature's,1960s,2
neath,1970s,2
nervous,1950s,2
night,1980s,2
night's,1970s,2
nights,1980s,2
nix,1950s,2
nobody's,1960s,2
norwegian,1960s,2
notice,1960s,2
noticed,1960s,2
nuclear,1970s,2
numb,1960s,2
october,1970s,2
ohh,1960s,2
one's,1990s,2
parade,1960s,2
party,1980s,2
peace,1960s,2
peaceful,1960s,2
peligro,1980s,2
people,1950s,2
pitched,1970s,2
plane,1980s,2
plays,1960s,2
poppa,1950s,2
pounce,1980s,2
pow,1980s,2
pray,1960s,2
precious,1960s,2
pretend,1960s,2
pretty,1980s,2
prizes,2000s,2
promise,1960s,2
puppy,1980s,2
pyre,1960s,2
quedo,1980s,2
rag,1980s,2
rain,1950s,2
rain,1960s,2
rain,1980s,2
rapidly,1960s,2
rare,1950s,2
ready,1950s,2
ready,1970s,2
reason,1960s,2
red,1950s,2
refuse,1960s,2
religion,1990s,2
reminds,1980s,2
rest,1970s,2
revealin,1950s,2
revved,1970s,2
rhythm,1950s,2
ride,1960s,2
rigby,1960s,2
rockin,1980s,2
roller,1960s,2
romance,1950s,2
run,1980s,2
running,1980s,2
sack,1950s,2
safe,1960s,2
sail,1960s,2
sally,1950s,2
sand,1960s,2
sauce,1960s,2
saves,1970s,2
saxophone,1950s,2
sayin,1990s,2
scared,1970s,2
school,1970s,2
seas,1960s,2
seldom,1970s,2
sense,1980s,2
senses,1960s,2
september,1970s,2
set,1990s,2
shadow,1960s,2
shake,1960s,2
shake,1980s,2
shame,1970s,2
shame,1980s,2
shifty,1950s,2
shine,1960s,2
shine,1970s,2
shinin,1960s,2
shoot,1970s,2
shot,1950s,2
shou,1960s,2
sign,1980s,2
sing,1960s,2
singing,1960s,2
sitting,1950s,2
skies,1970s,2
skin,1960s,2
skipping,1960s,2
sky,1980s,2
slander,1950s,2
slaving,1960s,2
slow,1960s,2
smile,1960s,2
socialize,1980s,2
someday,1950s,2
soul,1960s,2
sound,1970s,2
space,1970s,2
speeds,1980s,2
spoke,1960s,2
spot,1990s,2
standing,1960s,2
steal,1950s,2
steal,1970s,2
stop,1950s,2
stream,1970s,2
strings,1970s,2
strip,2000s,2
stripped,1960s,2
stronger,1950s,2
stronger,1980s,2
suddenly,1960s,2
sugar,1970s,2
suicide,1970s,2
summer,1970s,2
sunlight,1960s,2
supposed,1980s,2
sway,1980s,2
swirlin,1960s,2
takes,1980s,2
talking,1970s,2
taste,1980s,2
tear,1960s,2
tease,2000s,2
telling,1960s,2
tells,1980s,2
ten,1960s,2
thief,1960s,2
thousand,1960s,2
thumbs,1950s,2
tickin,1980s,2
till,1950s,2
till,1970s,2
time,1990s,2
tockin,1980s,2
toes,1960s,2
toes,1980s,2
tonight,1980s,2
top,1960s,2
touch,1960s,2
town,1970s,2
trade,1970s,2
trap,1970s,2
tree,1960s,2
trees,1970s,2
trip,1960s,2
trouble,1960s,2
truth,1970s,2
tryin,1970s,2
twelve,1950s,2
twelve,1960s,2
twiddle,1950s,2
twist,1980s,2
untrue,1960s,2
va,1980s,2
voy,1980s,2
wait,1970s,2
waiting,1980s,2
waits,1960s,2
walk,1950s,2
wallow,1960s,2
wanderin,1960s,2
warden,1950s,2
warm,1980s,2
watch,1950s,2
watch,1970s,2
wear,1960s,2
whale,1980s,2
where'd,2000s,2
whisper,1970s,2
whoo,1960s,2
wife,1970s,2
wine,1960s,2
wished,1970s,2
woo,1960s,2
wood,1960s,2
wooden,1950s,2
words,1980s,2
world,1950s,2
worry,1960s,2
worth,2000s,2
wow,1960s,2
wow,1980s,2
wrong,1950s,2
wrong,1970s,2
y'll,1980s,2
ya,2000s,2
yay,1990s,2
yeh,1980s,2
yo,1990s,2
yoh,1970s,2
york,1970s,2
you’re,1960s,2
15,1980s,1
4x,1970s,1
9,1970s,1
a.m,1970s,1
aaaaaaaalllllright,1960s,1
aaaaaaallllllright,1960s,1
aah,1960s,1
abusin,1980s,1
accept,1960s,1
actin,1960s,1
admit,1950s,1
admit,1960s,1
admit,1980s,1
affection,1980s,1
aging,1960s,1
agree,1960s,1
aground,1990s,1
ahh,1980s,1
aimed,1960s,1
air,1970s,1
air,1980s,1
airport,1980s,1
ait,1960s,1
albert,1960s,1
alerted,1960s,1
alibis,1960s,1
alike,1970s,1
alive,1970s,1
alley,1950s,1
amazes,1960s,1
american,1970s,1
amused,1960s,1
amused,1970s,1
amusement,1970s,1
ancient,1960s,1
angels,1980s,1
anger,1970s,1
answer,1970s,1
antichrist,1970s,1
apollo,1970s,1
apologize,1960s,1
approaching,1960s,1
arm,1960s,1
arms,1970s,1
army,1960s,1
assured,1990s,1
atlanta,1980s,1
avenue,1970s,1
aware,1970s,1
awoke,1960s,1
awww,1960s,1
ay,1960s,1
bab,1960s,1
babe,1950s,1
babies,1990s,1
backdoor,1960s,1
backroom,1970s,1
backwards,1990s,1
backyard,1960s,1
bag,1990s,1
bags,1970s,1
bald,1950s,1
ball,1960s,1
bam,1950s,1
ban,1990s,1
band,1980s,1
bandana,1970s,1
bang,1950s,1
banners,1970s,1
bar,1980s,1
barefoot,1960s,1
barely,1980s,1
barrel,1990s,1
bash,1970s,1
bath,1960s,1
baton,1970s,1
battle,1970s,1
beach,1960s,1
bearded,1960s,1
beards,1970s,1
beat,1950s,1
beat,1960s,1
beatin,1980s,1
beatlemania,1970s,1
beauty,1950s,1
bed,1970s,1
beef,1990s,1
beefcake,1990s,1
beg,1970s,1
bein,1960s,1
belive,1960s,1
beneath,1950s,1
beneath,1970s,1
bet,1980s,1
biding,1960s,1
bikini,1960s,1
bikini,1970s,1
bikinis,1970s,1
bills,1970s,1
bills,1980s,1
bird,1960s,1
bit,1950s,1
bit,1980s,1
bitten,1970s,1
black,1950s,1
blackburn,1960s,1
blasts,1980s,1
bled,1960s,1
bleeding,1970s,1
blessed,1990s,1
blew,1960s,1
blind,1960s,1
blind,1970s,1
blinded,1990s,1
blindly,1960s,1
block,1960s,1
blossom,1960s,1
blow,1960s,1
blowin,1950s,1
blowing,1950s,1
blue,1970s,1
blues,1950s,1
bluest,1980s,1
bold,1970s,1
boldly,1950s,1
bolt,1980s,1
bomb,1970s,1
bonds,1980s,1
bone,1960s,1
bones,1970s,1
boogie,1980s,1
book,1960s,1
books,1970s,1
bops,1950s,1
border,1980s,1
bored,1990s,1
born,1980s,1
borrow,1970s,1
bother,1960s,1
bottle,1980s,1
bottom,1960s,1
bought,1960s,1
boulevard,1970s,1
bound,1960s,1
boxer,1970s,1
boyfriends,1960s,1
boys,1980s,1
bozo,1990s,1
brain,1950s,1
branded,1960s,1
bread,1960s,1
break,1950s,1
break,1960s,1
break,1970s,1
break,1980s,1
breakin,1960s,1
breath,1970s,1
breathe,1990s,1
breathing,1980s,1
brew,1950s,1
bright,1950s,1
bright,1980s,1
broke,1950s,1
broke,1970s,1
broke,1980s,1
broken,1970s,1
brother,1970s,1
brother's,1980s,1
brought,1990s,1
brown,1970s,1
bubble,1970s,1
buckshot,1990s,1
buddy,1950s,1
bugging,1980s,1
bugs,1950s,1
bugsy,1950s,1
built,1950s,1
bullet,1980s,1
bums,1960s,1
buried,1960s,1
burned,1980s,1
burnin,1990s,1
burning,1980s,1
burns,1970s,1
bus,1960s,1
business,1960s,1
businessmen,1960s,1
busted,1970s,1
butane,1990s,1
butter,1970s,1
buy,1950s,1
buy,1960s,1
buy,1980s,1
buy,2000s,1
bye,1970s,1
cabin,1950s,1
cadillac,1980s,1
cages,1970s,1
california,1970s,1
calls,1960s,1
candy,1970s,1
cannon,1960s,1
cannon,1970s,1
car,1990s,1
carat,1950s,1
care,1950s,1
care,1980s,1
cares,1960s,1
caress,1970s,1
carried,1960s,1
carried,1980s,1
carries,1970s,1
carry,1950s,1
carry,1960s,1
carrying,1960s,1
